gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster,prediction_confidence
CA_15013,0.029937830687830694,0.12181349206349204,0.25004761904761896,0.0447063492063492,0.024445767195767198,0.022198412698412696,0.12301587301587302,0.25810449735449736,0.02377777777777778,0.03280555555555555,0.0691468253968254,7,0.25810449735449736
CA_15016,0.02677777777777778,0.06880952380952379,0.2327777777777778,0.023333333333333334,0.02936507936507936,0.01958333333333333,0.08752777777777776,0.40308333333333346,0.01831746031746032,0.035611111111111114,0.05481349206349206,7,0.40308333333333346
CA_15020,0.017777777777777778,0.04677777777777778,0.22055952380952382,0.036111111111111115,0.025666666666666664,0.013333333333333334,0.06353174603174602,0.47395238095238085,0.02253968253968254,0.034944444444444445,0.04480555555555556,7,0.47395238095238085
CA_15022,0.01472222222222222,0.05164285714285714,0.2086865079365079,0.03944444444444445,0.03054761904761905,0.011666666666666665,0.07213492063492065,0.4566587301587301,0.024801587301587304,0.044611111111111115,0.045083333333333336,7,0.4566587301587301
CA_15025,0.01361111111111111,0.05164285714285714,0.19472619047619047,0.036888888888888895,0.02809523809523809,0.015333333333333332,0.06247619047619048,0.4803968253968254,0.03074603174603175,0.036333333333333336,0.049749999999999996,7,0.4803968253968254
CA_15030,0.018277777777777778,0.05139285714285714,0.22339682539682532,0.026555555555555554,0.02692857142857143,0.017833333333333336,0.0857936507936508,0.416313492063492,0.04584126984126984,0.039999999999999994,0.04766666666666667,7,0.416313492063492
CA_15034,0.020055555555555556,0.05925,0.20037301587301587,0.04892063492063492,0.029944444444444447,0.019579365079365082,0.07012698412698412,0.43055952380952384,0.03885714285714286,0.0381111111111111,0.04422222222222222,7,0.43055952380952384
CA_15039,0.02911111111111111,0.09111111111111109,0.1891005291005291,0.04127777777777778,0.03896825396825398,0.013484126984126984,0.13930952380952383,0.3058769841269841,0.04009788359788359,0.048206349206349204,0.06345634920634921,7,0.3058769841269841
CA_15040,0.013333333333333334,0.06772619047619048,0.1788650793650794,0.03205555555555556,0.040896825396825404,0.01908333333333333,0.0664920634920635,0.48600793650793644,0.02565079365079365,0.041111111111111105,0.028777777777777777,7,0.48600793650793644
CA_15044,0.017111111111111108,0.07342063492063491,0.20328968253968255,0.028555555555555556,0.03142857142857143,0.01980555555555556,0.10046825396825397,0.406813492063492,0.029857142857142856,0.04688888888888888,0.04236111111111111,7,0.406813492063492
